xmin,ymin,xmax,ymax,Text
2373,2430,2502,2412,\W1.000761;64.30 ROW
3976,1212,3993,1167,\W1.001136;0.40
3715,1193,3758,1176,\W1.001125;1.00
4199,1111,4217,1067,\W1.001136;0.90
4137,1114,4154,1071,\W1.001125;1.00
3395,1193,3438,1176,\W1.001125;1.00
3418,1116,3436,1073,\W1.001125;1.50
3824,820,3880,803,\W1.001082;13.50
3924,845,3981,827,\W1.001082;10.00
4002,870,4046,852,\W1.001067;7.50
4074,894,4118,877,\W1.001136;5.00
3775,795,3832,778,\W1.001082;15.20
4106,664,4151,647,\W1.001220;3.85
3845,664,3890,647,\W1.001136;5.50
3567,664,3612,647,\W1.001212;4.00
3320,664,3365,647,\W1.001136;0.60
3742,1121,3759,1078,\W1.001125;1.00
4131,944,4175,927,\W1.001259;3.00
3987,944,4032,927,\W1.000887;2.00
3859,944,3903,927,\W1.000887;2.50
3715,944,3760,927,\W1.000887;2.50
3543,944,3588,927,\W1.001259;3.50
3395,944,3438,927,\W1.001125;1.70
1943,664,1999,647,\W1.001052;10.95
771,1243,814,1225,\W1.001125;1.70
793,1293,837,1275,\W1.000887;2.50
1548,1041,1576,1025,\W1.001233;2%
1543,664,1588,647,\W1.000887;2.00
808,1218,851,1200,\W1.001125;1.00
857,1130,875,1087,\W1.001125;1.50
893,1122,911,1079,\W1.001125;1.20
951,1243,994,1225,\W1.001125;1.20
976,1212,994,1167,\W1.001136;0.40
1221,1243,1264,1225,\W1.001125;1.00
771,1111,789,1067,\W1.001136;0.90
778,919,823,902,\W1.000887;2.00
805,1114,823,1071,\W1.001125;1.00
1544,1243,1587,1225,\W1.001125;1.00
1536,1116,1554,1073,\W1.001125;1.50
1102,795,1158,778,\W1.001082;13.50
1002,820,1058,803,\W1.001082;10.00
936,845,981,827,\W1.001067;7.50
864,870,909,852,\W1.001136;5.00
738,1218,783,1200,\W1.001136;0.60
1151,770,1207,753,\W1.001082;15.20
831,664,876,647,\W1.001220;3.85
1099,664,1144,647,\W1.001136;5.50
1371,664,1417,647,\W1.001212;4.00
1618,664,1663,647,\W1.001136;0.60
1428,1116,1445,1073,\W1.001125;1.00
1280,1135,1298,1092,\W1.001125;1.50
1063,1123,1080,1078,\W1.001136;0.90
976,1124,994,1079,\W1.001136;0.80
1217,1121,1235,1078,\W1.001125;1.00
865,919,908,902,\W1.001125;1.00
807,894,852,877,\W1.001259;3.00
953,1293,998,1275,\W1.000887;2.00
1086,1293,1131,1275,\W1.000887;2.50
1230,1293,1275,1275,\W1.000887;2.50
1403,1293,1448,1275,\W1.001259;3.50
1550,1293,1593,1275,\W1.001125;1.70
2280,664,2324,647,\W1.001136;0.60
721,921,738,677,\W1.000796;R.O.W / BUILDING LINE
4247,921,4264,677,\W1.000796;R.O.W / BUILDING LINE
4195,1520,4215,1418,\W1.000703;DEWA(LV)
4164,1520,4184,1409,\W1.000625;DEWA(WD)
4005,1520,4020,1421,\W1.000732;ETISALAT
3731,1521,3746,1349,\W1.000827;SEWERAGE M.H.
3888,1520,3908,1409,\W1.000679;DEWA (HV)
3408,1521,3424,1350,\W1.000863;S.W.D MANHOLE
3559,1520,3579,1324,\W1.000673;IRRIGATION (MAIN)
3585,1521,3600,1361,\W1.000845;TRANSMISSION
4089,1520,4104,1437,\W1.000553;ETIC-DU
4132,1521,4152,1336,\W1.000812;SEWERAGE (H.C.)
770,1520,790,1418,\W1.000703;DEWA(LV)
802,1520,822,1409,\W1.000625;DEWA(WD)
965,1520,981,1421,\W1.000732;ETISALAT
1234,1521,1250,1349,\W1.000827;SEWERAGE M.H.
1108,1520,1128,1409,\W1.000679;DEWA (HV)
1561,1521,1577,1350,\W1.000863;S.W.D MANHOLE
1411,1520,1431,1403,\W1.000641;DEWA (WD)
1437,1521,1453,1361,\W1.000845;TRANSMISSION
880,1520,896,1437,\W1.000553;ETIC-DU
832,1521,852,1336,\W1.000812;SEWERAGE (H.C.)
2483,1521,2499,1332,\W1.000831;STREET LIGHTING
2523,1520,2539,1399,\W1.000815;IRRIGATION
2547,1520,2563,1304,\W1.000794;DISTRUBUTION MAIN
2390,691,2564,676,\W1.000835;CENTRAL MEDIAN
3509,691,3658,676,\W1.000888;SERVICE ROAD
4068,688,4182,674,\W1.000811;SIDEWALK /
4065,714,4184,699,\W1.000756;LANDSCAPE
3774,689,3937,674,\W1.000935;ANGLE PARKING
3362,692,3464,677,\W1.001006;SIDEWALK
3349,718,3475,703,\W1.001013;SEPERATION
2198,688,2258,674,\W1.001019;INNER
2145,711,2255,696,\W1.001104;SHOULDER
1892,689,2041,674,\W1.000807;CARRIAGEWAY
1682,692,1751,677,\W1.000930;OUTER
1682,712,1792,697,\W1.001104;SHOULDER
1313,689,1462,674,\W1.000888;SERVICE ROAD
793,689,907,674,\W1.000811;SIDEWALK /
790,712,909,697,\W1.000756;LANDSCAPE
1034,689,1197,674,\W1.000935;ANGLE PARKING
1513,689,1615,674,\W1.001006;SIDEWALK
1500,712,1626,697,\W1.001013;SEPERATION
2490,556,2500,540,\W1.001329;L
2483,548,2497,531,\W1.001176;C
875,1051,904,1035,\W1.001233;2%
2087,1035,2116,1018,\W1.001233;2%
3406,1040,3435,1024,\W1.001233;2%
4075,1057,4104,1041,\W1.001233;2%
3227,692,3295,677,\W1.000930;OUTER
3183,716,3293,701,\W1.001104;SHOULDER
2722,688,2782,674,\W1.001019;INNER
2722,711,2832,696,\W1.001104;SHOULDER
3976,1124,3993,1079,\W1.001136;0.80
3878,1123,3895,1078,\W1.001136;0.90
3679,1135,3696,1092,\W1.001125;1.50
3567,1116,3585,1073,\W1.001125;1.00
2932,689,3081,674,\W1.000807;CARRIAGEWAY
2890,1035,2919,1019,\W1.001233;2%
3950,3714,3969,3541,\W1.000734;FIREFIGHTING
4003,3714,4021,3572,\W1.000815;IRRIGATION
3933,3383,3978,3365,\W1.001125;1.00
3991,3383,4035,3365,\W1.001125;1.00
2420,3714,2439,3572,\W1.000815;IRRIGATION
3629,3714,3647,3492,\W1.000796;DATA &amp; SECURITY
679,2927,694,2708,\W1.000796;R.O.W / BUILDING LINE
4396,2926,4411,2707,\W1.000796;R.O.W / BUILDING LINE
2132,1600,2908,1579,\W1.000805;TYPICAL RTA SERVICES RESERVATION CROSS SECTION
2302,1642,2765,1621,\W1.000718;FOR CORRIDOR WIDTH OF 61.00m
2491,3375,2538,3357,\W1.000887;2.00
842,3105,889,3087,\W1.001098;5.75
887,3072,933,3054,\W1.001067;7.30
922,3037,969,3019,\W1.001237;8.55
965,3001,1024,2983,\W1.001052;10.25
4427,3168,4474,3150,\W1.001136;0.30
4333,3138,4378,3119,\W1.001086;1.05
4305,3110,4352,3092,\W1.000887;2.00
4279,3079,4326,3061,\W1.000887;2.90
4226,3046,4273,3028,\W1.001174;4.75
4176,3010,4222,2992,\W1.000924;6.50
4147,2978,4194,2959,\W1.001067;7.50
4100,2943,4143,2925,\W1.000962;9.21
4027,2904,4085,2886,\W1.001082;11.50
3984,2866,4042,2848,\W1.001082;13.00
3934,2823,3992,2805,\W1.001052;14.75
3876,2797,3935,2778,\W1.001052;16.75
1094,2882,1153,2863,\W1.001052;14.75
1187,2854,1246,2836,\W1.001082;18.00
2406,3375,2451,3357,\W1.001125;1.00
3812,2748,3870,2730,\W1.001082;19.00
3618,3382,3663,3364,\W1.001125;1.00
1007,3359,1053,3341,\W1.000887;2.50
1265,3359,1311,3341,\W1.000887;2.50
1372,3359,1416,3341,\W1.001125;1.20
1425,3390,1470,3372,\W1.001125;1.00
1522,3359,1569,3341,\W1.000887;2.50
1431,3311,1478,3293,\W1.001136;0.20
1031,3714,1055,3554,\W1.000745;DEWA(132kV)
1279,3714,1303,3568,\W1.000726;DEWA(11kV)
1709,3359,1755,3341,\W1.001259;3.00
1721,3715,1739,3528,\W1.000857;SWD MANHOLE
1852,3359,1899,3341,\W1.000887;2.00
1874,3715,1892,3495,\W1.000857;SEWER MANHOLE
1233,2815,1294,2797,\W1.000900;20.50
1111,3359,1156,3341,\W1.001125;1.10
1167,3359,1214,3341,\W1.001136;0.90
771,3361,817,3342,\W1.001136;0.50
715,3714,738,3595,\W1.000702;DEWA(LV)
1131,3715,1149,3633,\W1.001094;SPARE
1181,3714,1205,3584,\W1.000625;DEWA(WD)
1425,3716,1444,3521,\W1.000741;FIREFIGHTING +
1452,3716,1470,3534,\W1.000751;FIRE HYDRANT
1623,3715,1641,3633,\W1.001094;SPARE
1665,3392,1711,3373,\W1.001136;0.50
617,3404,663,3386,\W1.001136;0.60
654,3716,673,3495,\W1.000831;STREET LIGHTING
684,3716,708,3584,\W1.000758;POLE (BJT)
2426,3132,3146,2682,\W1.000722;OUT OF NOC SCOPE
4428,3966,4441,3945,\W1.001712;0
4433,4034,4579,4014,\W1.001113;Scale 1:125
4486,3964,4493,3944,\W1.000949;1
4541,3964,4554,3944,\W1.001005;2
4598,3964,4611,3944,\W1.001289;3
4882,3964,4918,3944,\W1.000437;8m
4714,3964,4727,3944,\W1.001554;5
Polyline,X,Y
1,959,2470
2,980,2447
1,959,2520
2,1031,2447
1,959,2571
2,1082,2447
1,959,2622
2,1133,2447
1,959,2672
2,1183,2447
1,959,2723
2,1234,2447
1,959,2773
2,1285,2447
1,959,2824
2,1335,2447
1,959,2875
2,1386,2447
1,959,2925
2,1436,2447
1,959,2976
2,1487,2447
1,959,3027
2,1538,2447
1,959,3077
2,1588,2447
1,959,3128
2,1639,2447
1,959,3179
2,1690,2447
1,959,3229
2,1740,2447
1,959,3280
2,1791,2447
1,959,3331
2,1842,2447
1,959,3381
2,1892,2447
1,959,3432
2,1943,2447
1,959,3482
2,1994,2447
1,959,3533
2,2044,2447
1,959,3584
2,2095,2447
1,959,3634
2,2145,2447
1,959,3685
2,2196,2447
1,965,3730
2,2247,2447
1,1015,3730
2,2298,2447
1,1066,3730
2,2348,2447
1,1117,3730
2,2399,2447
1,1167,3730
2,2450,2447
1,1218,3730
2,2500,2447
1,1268,3730
2,2551,2447
1,1319,3730
2,2602,2447
1,1370,3730
2,2652,2447
1,1420,3730
2,2703,2447
1,1471,3730
2,2753,2447
1,1522,3730
2,2804,2447
1,1572,3730
2,2855,2447
1,1623,3730
2,2905,2447
1,1674,3730
2,2956,2447
1,1724,3730
2,3007,2447
1,1775,3730
2,3057,2447
1,1826,3730
2,3108,2447
1,1876,3730
2,3159,2447
1,1927,3730
2,3209,2447
1,1978,3730
2,3260,2447
1,2028,3730
2,3310,2447
1,2079,3730
2,3361,2447
1,2130,3730
2,3412,2447
1,2180,3730
2,3463,2447
1,2231,3730
2,3513,2447
1,2282,3730
2,3564,2447
1,2332,3730
2,3615,2447
1,2383,3730
2,3665,2447
1,2434,3730
2,3716,2447
1,2484,3730
2,3767,2447
1,2535,3730
2,3817,2447
1,2585,3730
2,3868,2447
1,2636,3730
2,3918,2447
1,2687,3730
2,3969,2447
1,2737,3730
2,4020,2447
1,2788,3730
2,4070,2447
1,2839,3730
2,4121,2447
1,2889,3730
2,4172,2447
1,2940,3730
2,4222,2447
1,2991,3730
2,4273,2447
1,3041,3730
2,4324,2447
1,3092,3730
2,4374,2447
1,3143,3730
2,4386,2486
1,3193,3730
2,4386,2537
1,3244,3730
2,4386,2588
1,3295,3730
2,4386,2638
1,3345,3730
2,4386,2689
1,3396,3730
2,4386,2739
1,3447,3730
2,4386,2790
1,3497,3730
2,4386,2841
1,3548,3730
2,4386,2891
1,3599,3730
2,4386,2942
1,3649,3730
2,4386,2993
1,3700,3730
2,4386,3043
1,3750,3730
2,4386,3094
1,3801,3730
2,4386,3145
1,3852,3730
2,4386,3195
1,3902,3730
2,4386,3246
1,3953,3730
2,4386,3297
1,4004,3730
2,4386,3348
1,4054,3730
2,4386,3398
1,4105,3730
2,4386,3449
1,4156,3730
2,4386,3499
1,4206,3730
2,4386,3550
1,4257,3730
2,4386,3601
1,4308,3730
2,4386,3651
1,4358,3730
2,4386,3702
1,4386,2447
2,4386,2454
3,4386,2462
4,4386,2469
5,4386,2476
6,4386,2483
7,4386,2490
8,4386,2497
9,4386,2504
10,4386,2512
11,4386,2519
12,4386,2526
13,4386,2533
14,4386,2541
15,4386,2548
16,4386,2555
17,4386,2562
18,4386,2569
19,4386,2576
20,4386,2583
21,4386,2591
22,4386,2598
23,4386,2605
24,4386,2612
25,4386,2619
26,4386,2626
27,4386,2634
28,4386,2641
29,4386,2648
30,4386,2655
31,4386,2662
32,4386,2669
33,4386,2676
34,4386,2684
35,4386,2691
36,4386,2698
37,4386,2705
38,4386,2712
39,4386,2719
40,4386,2727
41,4386,2734
42,4386,2741
43,4386,2748
44,4386,2755
45,4386,2763
46,4386,2770
47,4386,2777
48,4386,2784
49,4386,2791
50,4386,2798
51,4386,2806
52,4386,2813
53,4386,2820
54,4386,2827
55,4386,2834
56,4386,2841
57,4386,2848
58,4386,2856
59,4386,2863
60,4386,2870
61,4386,2877
62,4386,2884
63,4386,2891
64,4386,2899
65,4386,2906
66,4386,2913
67,4386,2920
68,4386,2927
69,4386,2934
70,4386,2941
71,4386,2949
72,4386,2956
73,4386,2963
74,4386,2970
75,4386,2977
76,4386,2985
77,4386,2992
78,4386,2999
79,4386,3006
80,4386,3013
81,4386,3020
82,4386,3028
83,4386,3035
84,4386,3042
85,4386,3049
86,4386,3056
87,4386,3063
88,4386,3071
89,4386,3078
90,4386,3085
91,4386,3092
92,4386,3099
93,4386,3106
94,4386,3113
95,4386,3121
96,4386,3128
97,4386,3135
98,4386,3142
99,4386,3149
100,4386,3156
101,4386,3164
102,4386,3171
103,4386,3178
104,4386,3185
105,4386,3192
106,4386,3200
107,4386,3207
108,4386,3214
109,4386,3221
110,4386,3228
111,4386,3235
112,4386,3243
113,4386,3250
114,4386,3257
115,4386,3264
116,4386,3271
117,4386,3278
118,4386,3285
119,4386,3293
120,4386,3300
121,4386,3307
122,4386,3314
123,4386,3321
124,4386,3328
125,4386,3336
126,4386,3343
127,4386,3350
128,4386,3357
129,4386,3364
130,4386,3371
131,4386,3378
132,4386,3386
133,4386,3393
134,4386,3400
135,4386,3407
136,4386,3414
137,4386,3422
138,4386,3429
139,4386,3436
140,4386,3443
141,4386,3450
142,4386,3457
143,4386,3465
144,4386,3472
145,4386,3479
146,4386,3486
147,4386,3493
148,4386,3500
149,4386,3508
150,4386,3515
151,4386,3522
152,4386,3529
153,4386,3536
154,4386,3543
155,4386,3550
156,4386,3558
157,4386,3565
158,4386,3572
159,4386,3579
160,4386,3586
161,4386,3593
162,4386,3601
163,4386,3608
164,4386,3615
165,4386,3622
166,4386,3629
167,4386,3637
168,4386,3644
169,4386,3651
170,4386,3658
171,4386,3665
172,4386,3672
173,4386,3679
174,4386,3687
175,4386,3694
176,4386,3701
177,4386,3708
178,4386,3715
179,4386,3722
180,4386,3730
181,4381,3730
182,4373,3730
183,4366,3730
184,4359,3730
185,4352,3730
186,4345,3730
187,4338,3730
188,4331,3730
189,4323,3730
190,4316,3730
191,4309,3730
192,4302,3730
193,4295,3730
194,4288,3730
195,4280,3730
196,4273,3730
197,4266,3730
198,4259,3730
199,4252,3730
200,4244,3730
201,4237,3730
202,4230,3730
203,4223,3730
204,4216,3730
205,4209,3730
206,4202,3730
207,4194,3730
208,4187,3730
209,4180,3730
210,4173,3730
211,4166,3730
212,4159,3730
213,4151,3730
214,4144,3730
215,4137,3730
216,4130,3730
217,4123,3730
218,4116,3730
219,4108,3730
220,4101,3730
221,4094,3730
222,4087,3730
223,4080,3730
224,4073,3730
225,4066,3730
226,4058,3730
227,4051,3730
228,4044,3730
229,4037,3730
230,4030,3730
231,4022,3730
232,4015,3730
233,4008,3730
234,4001,3730
235,3994,3730
236,3987,3730
237,3979,3730
238,3972,3730
239,3965,3730
240,3958,3730
241,3951,3730
242,3944,3730
243,3937,3730
244,3929,3730
245,3922,3730
246,3915,3730
247,3908,3730
248,3901,3730
249,3894,3730
250,3886,3730
251,3879,3730
252,3872,3730
253,3865,3730
254,3858,3730
255,3851,3730
256,3843,3730
257,3836,3730
258,3829,3730
259,3822,3730
260,3815,3730
261,3807,3730
262,3801,3730
263,3793,3730
264,3786,3730
265,3779,3730
266,3772,3730
267,3765,3730
268,3757,3730
269,3750,3730
270,3743,3730
271,3736,3730
272,3729,3730
273,3722,3730
274,3714,3730
275,3707,3730
276,3700,3730
277,3693,3730
278,3686,3730
279,3679,3730
280,3672,3730
281,3664,3730
282,3657,3730
283,3650,3730
284,3643,3730
285,3636,3730
286,3629,3730
287,3621,3730
288,3614,3730
289,3607,3730
290,3600,3730
291,3593,3730
292,3586,3730
293,3578,3730
294,3571,3730
295,3564,3730
296,3557,3730
297,3550,3730
298,3542,3730
299,3535,3730
300,3528,3730
301,3521,3730
302,3514,3730
303,3507,3730
304,3500,3730
305,3492,3730
306,3485,3730
307,3478,3730
308,3471,3730
309,3464,3730
310,3457,3730
311,3449,3730
312,3442,3730
313,3435,3730
314,3428,3730
315,3421,3730
316,3414,3730
317,3406,3730
318,3399,3730
319,3392,3730
320,3385,3730
321,3378,3730
322,3371,3730
323,3364,3730
324,3356,3730
325,3349,3730
326,3342,3730
327,3335,3730
328,3328,3730
329,3320,3730
330,3313,3730
331,3306,3730
332,3299,3730
333,3292,3730
334,3285,3730
335,3277,3730
336,3270,3730
337,3263,3730
338,3256,3730
339,3249,3730
340,3242,3730
341,3235,3730
342,3227,3730
343,3220,3730
344,3213,3730
345,3206,3730
346,3199,3730
347,3192,3730
348,3184,3730
349,3177,3730
350,3170,3730
351,3163,3730
352,3156,3730
353,3149,3730
354,3141,3730
355,3134,3730
356,3127,3730
357,3120,3730
358,3113,3730
359,3105,3730
360,3099,3730
361,3091,3730
362,3084,3730
363,3077,3730
364,3070,3730
365,3063,3730
366,3055,3730
367,3048,3730
368,3041,3730
369,3034,3730
370,3027,3730
371,3020,3730
372,3012,3730
373,3005,3730
374,2998,3730
375,2991,3730
376,2984,3730
377,2977,3730
378,2970,3730
379,2962,3730
380,2955,3730
381,2948,3730
382,2941,3730
383,2934,3730
384,2927,3730
385,2919,3730
386,2912,3730
387,2905,3730
388,2898,3730
389,2891,3730
390,2884,3730
391,2876,3730
392,2869,3730
393,2862,3730
394,2855,3730
395,2848,3730
396,2840,3730
397,2833,3730
398,2826,3730
399,2819,3730
400,2812,3730
401,2805,3730
402,2798,3730
403,2790,3730
404,2783,3730
405,2776,3730
406,2769,3730
407,2762,3730
408,2755,3730
409,2747,3730
410,2740,3730
411,2733,3730
412,2726,3730
413,2719,3730
414,2712,3730
415,2704,3730
416,2697,3730
417,2690,3730
418,2683,3730
419,2676,3730
420,2669,3730
421,2662,3730
422,2654,3730
423,2647,3730
424,2640,3730
425,2633,3730
426,2626,3730
427,2619,3730
428,2611,3730
429,2604,3730
430,2597,3730
431,2590,3730
432,2583,3730
433,2575,3730
434,2568,3730
435,2561,3730
436,2554,3730
437,2547,3730
438,2540,3730
439,2533,3730
440,2525,3730
441,2518,3730
442,2511,3730
443,2504,3730
444,2497,3730
445,2490,3730
446,2482,3730
447,2475,3730
448,2468,3730
449,2461,3730
450,2454,3730
451,2447,3730
452,2439,3730
453,2432,3730
454,2425,3730
455,2418,3730
456,2411,3730
457,2404,3730
458,2397,3730
459,2389,3730
460,2382,3730
461,2375,3730
462,2368,3730
463,2361,3730
464,2353,3730
465,2346,3730
466,2339,3730
467,2332,3730
468,2325,3730
469,2318,3730
470,2310,3730
471,2303,3730
472,2296,3730
473,2289,3730
474,2282,3730
475,2275,3730
476,2268,3730
477,2260,3730
478,2253,3730
479,2246,3730
480,2239,3730
481,2232,3730
482,2225,3730
483,2217,3730
484,2210,3730
485,2203,3730
486,2196,3730
487,2189,3730
488,2182,3730
489,2174,3730
490,2167,3730
491,2160,3730
492,2153,3730
493,2146,3730
494,2138,3730
495,2132,3730
496,2124,3730
497,2117,3730
498,2110,3730
499,2103,3730
500,2096,3730
501,2088,3730
502,2081,3730
503,2074,3730
504,2067,3730
505,2060,3730
506,2053,3730
507,2045,3730
508,2038,3730
509,2031,3730
510,2024,3730
511,2017,3730
512,2010,3730
513,2003,3730
514,1995,3730
515,1988,3730
516,1981,3730
517,1974,3730
518,1967,3730
519,1960,3730
520,1952,3730
521,1945,3730
522,1938,3730
523,1931,3730
524,1924,3730
525,1917,3730
526,1909,3730
527,1902,3730
528,1895,3730
529,1888,3730
530,1881,3730
531,1873,3730
532,1866,3730
533,1859,3730
534,1852,3730
535,1845,3730
536,1838,3730
537,1831,3730
538,1823,3730
539,1816,3730
540,1809,3730
541,1802,3730
542,1795,3730
543,1788,3730
544,1780,3730
545,1773,3730
546,1766,3730
547,1759,3730
548,1752,3730
549,1745,3730
550,1737,3730
551,1730,3730
552,1723,3730
553,1716,3730
554,1709,3730
555,1702,3730
556,1695,3730
557,1687,3730
558,1680,3730
559,1673,3730
560,1666,3730
561,1659,3730
562,1651,3730
563,1644,3730
564,1637,3730
565,1630,3730
566,1623,3730
567,1616,3730
568,1608,3730
569,1601,3730
570,1594,3730
571,1587,3730
572,1580,3730
573,1573,3730
574,1566,3730
575,1558,3730
576,1551,3730
577,1544,3730
578,1537,3730
579,1530,3730
580,1523,3730
581,1515,3730
582,1508,3730
583,1501,3730
584,1494,3730
585,1487,3730
586,1480,3730
587,1472,3730
588,1465,3730
589,1458,3730
590,1451,3730
591,1444,3730
592,1436,3730
593,1430,3730
594,1422,3730
595,1415,3730
596,1408,3730
597,1401,3730
598,1394,3730
599,1386,3730
600,1379,3730
601,1372,3730
602,1365,3730
603,1358,3730
604,1351,3730
605,1343,3730
606,1336,3730
607,1329,3730
608,1322,3730
609,1315,3730
610,1308,3730
611,1301,3730
612,1293,3730
613,1286,3730
614,1279,3730
615,1272,3730
616,1265,3730
617,1258,3730
618,1250,3730
619,1243,3730
620,1236,3730
621,1229,3730
622,1222,3730
623,1215,3730
624,1207,3730
625,1200,3730
626,1193,3730
627,1186,3730
628,1179,3730
629,1171,3730
630,1164,3730
631,1157,3730
632,1150,3730
633,1143,3730
634,1136,3730
635,1129,3730
636,1121,3730
637,1114,3730
638,1107,3730
639,1100,3730
640,1093,3730
641,1086,3730
642,1078,3730
643,1071,3730
644,1064,3730
645,1057,3730
646,1050,3730
647,1043,3730
648,1035,3730
649,1028,3730
650,1021,3730
651,1014,3730
652,1007,3730
653,1000,3730
654,993,3730
655,985,3730
656,978,3730
657,971,3730
658,964,3730
659,959,3730
660,959,3723
661,959,3715
662,959,3708
663,959,3701
664,959,3694
665,959,3687
666,959,3680
667,959,3672
668,959,3665
669,959,3658
670,959,3651
671,959,3644
672,959,3637
673,959,3630
674,959,3622
675,959,3615
676,959,3608
677,959,3601
678,959,3594
679,959,3587
680,959,3579
681,959,3572
682,959,3565
683,959,3558
684,959,3551
685,959,3543
686,959,3536
687,959,3529
688,959,3522
689,959,3515
690,959,3508
691,959,3500
692,959,3493
693,959,3486
